AUTORE,TITLE or subject,ANNO,PROVENIENZA,LUOGO DI CONSERVAZIONE,KEY WORD 1, KEY WORDS 2,KEY WORDS 3,KEY WORDS 4,KEY WORDS 5,LINKS,FORMATO,TOPIC,TOPIC,TOPIC,NOTES FOR INTERNAL USE,Responsible
Giorgia Di Marcantonio,,2021,,,,,,,,https://drive.google.com/file/d/1u18KKWg7RkA9rhYrjg8jnjYqGYJnXHJz/view?usp=sharing,,,,,,
Giorgia Di Marcantonio,,2021,,,,,,,,,,,,,,
Anonymous,"Schismaticorum in Anglia
Crudelitas.",1587,"Richard Verstegan, 
Theatrum Crudelitatum 
haereticorum nostri 
temporis. 1587 ed., p. 25 ","Kaiserliche Koenigliche,
Hofbibliothek, Wien ",Tudor England,English Reformation ,Catholic,Anti-Protestant ,Propaganda,https://drive.google.com/file/d/1L8J6BuxIYblsLsteIX3adp-_m-1wVF9E/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,"Horribilia scelera ab Huguenotis
in Gallijs perpetrata.",1587,"Richard Verstegan, 
Theatrum Crudelitatum 
haereticorum nostri 
temporis. 1587 ed., p. 33","Kaiserliche Koenigliche,
Hofbibliothek, Wien ",France,Huguenots,Catholic,Anti-Protestant ,Propaganda,https://drive.google.com/file/d/15zCkskP3C3q-txlRrRfMbMRgC2_cNgTT/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,"Horrenda inhumanitatis à Geusijs
Belgicis peracta.",1587,"Richard Verstegan, 
Theatrum Crudelitatum 
haereticorum nostri 
temporis. 1587 ed., p. 59","Kaiserliche Koenigliche,
Hofbibliothek, Wien ",Belgium,Catholic,Anti-Protestant,Propaganda,Flanders,https://drive.google.com/file/d/1ENWHfwSXAsTI0IL4kARGt8HKXB_P28Cn/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,"Persecutiones adversus Catholicos
à Protestantibus Calvinistis excitae 
in Anglia.",1587,"Richard Verstegan, 
Theatrum Crudelitatum 
haereticorum nostri 
temporis. 1587 ed., p. 59","Kaiserliche Koenigliche,
Hofbibliothek, Wien ",Tudor England,Catholic,Anti-Protestant,Elizabeth I,Propaganda,https://drive.google.com/file/d/1U7MMsC7mMlQWuV7U9k0sSEF6Ejb2uKtA/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,"Persecutiones adversus Catholicos
à Protestantibus Calvinistis excitae 
in Hibernia.  ",1587,"Richard Verstegan, 
Theatrum Crudelitatum 
haereticorum nostri 
temporis. 1587 ed., p. 81","Kaiserliche Koenigliche,
Hofbibliothek, Wien ",Ireland,Catholic,Anit-Protestant,Propaganda,,https://drive.google.com/file/d/1fPFO_nVWTpjpJPmTNT27KjqNw1ZcS7Gj/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Bouttats, Frederik the 
Younger","P. Edmundus Campianus, Robertus
S'Herwinus, ende Alexander 
Briantus van de Societeijt Iesu 
worden te Londen voor het gheloof
ghehanghen ende ghevierendeelt   ",1600s,"Fleming Collection: 
Fleming's Granger (Vol. 1) ","National Portrait Gallery, London",Tudor England,Catholic,Jesuit,Elizabeth I,Edmund Campion,https://drive.google.com/file/d/11Sihxr5pxxL8D06IsHOUCduyvQYiZFNL/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Eeckhout, Gerbrand van den","Johannes Voësius, ende Henricus 
Hescheus, twee Augustiner 
Monnicken tot Brussel verbrandt ",1659,"Adriaen Cornelis van 
Haemstede, 
Historie der martelaren, fol. 
50, ed. 1659",Ghent University,Martyrology,Lutheran,Augustininan,Jan van Essen,Hendrik Vos,https://drive.google.com/file/d/1CJMUvAYw4E1PCUynAkcF5CA7PRXbn0Mc/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Eeckhout, Gerbrand van den","Henrick Zurphen tot Diethmaer van
de Boeren wreede-lick om hals 
gebracht.",1659,"Adriaen Cornelis van 
Haemstede, 
Historie der martelaren, fol. 
51, ed. 1659",Ghent University,Martyrology,Lutheran,Heinrich von Zütphen,Augustinian,,https://drive.google.com/file/d/16u0SiWpUKBGdaqg95elrb1Gx8igFKLWY/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
