AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Smith, J. Z.;Hamerton-Kelly, R. G.;The Domestication of Sacrifice;The Domestication of Sacrifice;Violent Origins: Walter Burkhert, René Girard, and Jonathan Z. Smith on Ritual Killing and Cultural Formation;;;;191-205;Stanford University Press;Standford;1987
McClymond, K.;;;;Beyond Sacred Violence: A Comparative Study of Sacrifice;;;;;Johns Hopkins University Press;Baltimore;2008
Carter, J.;;;;Understanding Religious Sacrifice: A Reader, Controversies in the Study of Religion;;;;;Continuum;London - New York;2003
Sheehan, J. ;;;;The Altars of the Idols: Religion, Sacrifice, and the Early Modern Polity;Journal of the History of Ideas;67;4;649-674;;;2006
Milbank, J.;;Stories of Sacrifice;Stories of Sacrifice;;Modern theology;12;1;27-56;;;1996
Green, A. R. W.;;;;The Role of the Human Sacrifice in the Ancient Near East;;;;;Scholars;Missoula;1975
Hubert, H. - Mauss, M.;;Essai sur la nature et la fonction du sacrifice;Essai sur la nature et la fonction du sacrifice;;;;;;Félix Alcan;Paris;1899
Hughes, D.;;;;Culture and Sacrifice: Ritual Death in Literature and Opera;;;;;Cambridge University Press;Cambridge;2007
Borsje, J.;Bremmer, J.;Human Sacrifice in Medieval Irish Literature;;The Strange World of Human Sacrifice;;;;31-54;Peeters;Leuven - Paris - Dudley;2007
Graulich, M.;Bremmer, J.;Aztec Human Sacrifice as Expiation;;The Strange World of Human Sacrifice;;;;352-371;Peeters;Leuven - Paris - Dudley;2007
Bremmer, J.;Bremmer, J.;Myth and Ritual in Greek Human Sacrifice: Lykaon, Polyxena, and the Case of the Rhodian Criminal;;The Strange World of Human Sacrifice;;;;55-79;Peeters;Leuven - Paris - Dudley;2007
Roig Lanzillotta, R.;Bremmer, J.;The Early Christians and Human Sacrifice;;The Strange World of Human Sacrifice;;;;81-102;Peeters;Leuven - Paris - Dudley;2007
Noort, E. ;Bremmer, J.;Child sacrifice in Ancient Israel: the Status Quaestionis;;The Strange World of Human Sacrifice;;;;103-125;Peeters;Leuven - Paris - Dudley;2007
Velde, H. te;Bremmer, J.;Human Sacrifice in Ancient Egypt;;The Strange World of Human Sacrifice;;;;127-134;Peeters;Leuven - Paris - Dudley;2007
Dijk, J. van;Bremmer, J.;Retainer Sacrifice in Egypt and in Nubia;;The Strange World of Human Sacrifice;;;;135-155;Peeters;Leuven - Paris - Dudley;2007
Parpola, A.;Bremmer, J.;Human Sacrifice in India in Vedic Times and Before;;The Strange World of Human Sacrifice;;;;157-177;Peeters;Leuven - Paris - Dudley;2007
Bakker, T.;Bremmer, J.;"Human Sacrifice (Puruṣamedha), Construction Sacrifice, and the Origin of the Idea of the ""Man of the Homestead"" (Vāstupuruṣa)";;The Strange World of Human Sacrifice;;;;179-194;Peeters;Leuven - Paris - Dudley;2007
Bosch, L. P. van den;Bremmer, J.;Human Sacrifice among the Konds;;The Strange World of Human Sacrifice;;;;195-227;Peeters;Leuven - Paris - Dudley;2007
Harimoto, K.;Bremmer, J.;Human Sacrifice in Japan;;The Strange World of Human Sacrifice;;;;229-236;Peeters;Leuven - Paris - Dudley;2007
Barrett, T. H.;Bremmer, J.;Human Sacrifice and Self-Sacrifice in China: A Century of Revelations;;The Strange World of Human Sacrifice;;;;237-258;Peeters;Leuven - Paris - Dudley;2007
;Budde, M. L., - Scott, K.;;;Future of Christian Martyrdom: Future of Christian Martyrdom;;;;;William B. Eerdmans Publishing Compan;Grand Rapids - Cambridge;2011
Arblaster, P.;;Antwerp and the World: Richard Verstegan and the International Culture of Catholic Reformation;Antwerp and the World ...;;;;;;Leuven University Press;Leuven;2004
Brietz Monta, S.;;"
Martyrdom and literature in early modern England";"
Martyrdom and literature in early modern England";;;;;;Cambridge University Press;Cambridge;2005
Campan, C. A. ed. ;;Mémoires de Francisco de Enzinas: Texte latin inédit, avec la traduction française du XVIe siècle en regard 1543-1545. Histoire de Testat du Pays-Bas et de la religion en Espagne. 2 Vols.;Mémoires de Francisco de Enzinas ...;;;;;;Société de l'Historie de Belgique;Brussels;1862-1863
Covington, S.;;The Trail of Martyrdom: Persecution and Resistance in sixteenth-century England;"
The Trail of Martyrdom ...";;;;;;University of Notre Dame Press;Notre Dame, Ind. ;2003
Dillon, A.;;The Construction of Martyrdom in the English Catholic Community, 1535-1603 ;The Construction of Martyrdom in the English Catholic Community, 1535-1603 ;;;;;;Ashgate;Aldershot;2002
Gregory, B. S.  ;;Salvation at Stake: Christian Martyrdom in Early Modern Europe;Salvation at Stake ...;;;;;;Harvard University Press;Cambridge, Mass. ;1999
Hansford-Miller, F.;;The 282 Protestant Martyrs of England and Wales, 1555-1558;The 282 Protestant Martyrs of England and Wales, 1555-1558;;;;;;Educational Publishers ;London;1970
Herz, A.;;Imitators of Christ: The Martyr-Cycles of Late sixteenth-Century Rome Seen in Context;Imitators of Christ ...;;Storia dell'arte;62;;53-70;;;1988
Kelley, D. R. ;;Martyrs, Myths, and the Massacre. The Background of st. Bartholomew.;Martyrs, Myths, and the Massacre ...;;"American Historical 
Review";77;;1323-1342;;;1972
Knott, J. R.  ;;Discourses of Martyrdom in English Literature, 1563-1694;Discourses of Martyrdom in English Literature, 1563-1694;;;;;;Cambridge University Press;Cambridge;1993
Köhler, H.-J. ed. ;;Flugschriften als Massenmedium der Reformationszeit;Flugschriften als Massenmedium der Reformationszeit;;;;;;Klett-Cotta;Stuttgart;1981
Loades, D.;;The Oxford Martyrs;The Oxford Martyrs;;;;;;Headstart History;Bangor;1992
Marshall, P.;;Papist as Heretic: The Burning of John Forest, 1538;Papist as Heretic: The Burning of John Forest, 1538;;Historical Journal;41;;351-374;;;1998
Moeller, B.;Seidel Menchi, S. et al.  ;Inquisition und Martyrium in Flugschriften der frühen Reformation in Deutschland;Inquisition und Martyrium in Flugschriften der frühen Reformation in Deutschland;Ketzerverfolgung im 16. und frühen 17. Jahrhundert;;;;21-48; Harrossowitz;Wiesbaden;1992
Monter, W.;Grell, O. P. et al.;Hersy Executions in Reformation Europe;Hersy Executions in Reformation Europe;Tolerance and Intolerance in the European Reformation;;;;48-65;Cambridge University Press;Cambridge;1996
Nicholls, D.;;The Theatre of Martyrdom in the French Reformation;The Theatre of Martyrdom in the French Reformation;;Past and Present;121;;49-73;;;1988
Nuttall, G. F. ;;The English Martyrs 1535-1680: A Statistical Review;The English Martyrs 1535-1680: A Statistical Review;;"Journal of 
Ecclesiastical 
History";22;;191-197;;;1971
Oyer, J.;;Lutheran Reformers against Anabaptists: Luther, Melanchthon and Menius and the Anabaptists of Central Germany ;Lutheran Reformers against Anabaptists: Luther, Melanchthon and Menius and the Anabaptists of Central Germany ;;;;;;"
Martinus Nijhoff";The Hague;1964
Packull, W. O. ;;Anna Jansz of Rotterdam, a Historical Investigation of an Early Anabaptist Heroine;Anna Jansz of Rotterdam, a Historical Investigation of an Early Anabaptist Heroine;;"Archiv für 
Reformationgeschichte";78;;147-173;;;1987
Riedl, M.;;Terrorism as “Apocalyptic Violence”. On the Meaning ad Validity of a New Analytical Category;Terrorism as “Apocalyptic Violence”. On the Meaning ad Validity of a New Analytical Category;;Social Imaginaries;3;2;77-107;;;2017
Roth, J. T. ed.;;“hey Harry the Good People Out of the Land”: Essays on the Persecution, urvival and Flourishing of Anaaptists and Mennonites;“hey Harry the Good People Out of the Land”: Essays on the Persecution, urvival and Flourishing of Anaaptists and Mennonites;;;;;;Mennonite Historical Society;Goshen, Ind.;2000
"Rubin, M.
 ";Wood, D. ;Choosing Death? Experiences of Martyrdom in Late Medieval Europe;Choosing Death? Experiences of Martyrdom in Late Medieval Europe;Martyrs and Martyrologies;;;;178-180;Blackwell ;Oxford;1983
Snyder, C. A.;;The Life and Thought of Michael Sattler;The Life and Thought of Michael Sattler;;;;;;Herald Press  ;Scottdale, PA.;1984
Zieglschmid, A. J. F. ed.  ;;Die älteste Chronik der Hutterischen Brüder;Die älteste Chronik der Hutterischen Brüder;;;;;;Cayuga Press;Ithaca, N.Y.;1943
Thomas, K. ;;Killing Stones;Killing Stones;;London Review of Books;33;10;13-15;;;2011
Dillon, A.;;Michelangelo and the English Martyrs;Michelangelo and the English Martyrs;;;;;;Ashgate ;Aldershot;2012
Achinstein, S.;;John Foxe and the Jews;John Foxe and the Jews;;Renaissance Quarterly;54;;86-120;;;2001
Anderson, D. K.;;Martyrs and Players in Early Modern England: Tragedy, Religion and Violence on Stage;Martyrs and Players in Early Modern England: Tragedy, Religion and Violence on Stage;;;;;;Ashgate;Aldershot;2014
Brietz Monta, S.;"Janes, D.; Houen, A.";Rendering unto Caesar: The Rhetorics of Divided Loyalties in Tudor England;Rendering unto Caesar: The Rhetorics of Divided Loyalties in Tudor England;Martyrdom and Terrorism: Pre-Modern to Contemporary Perspectives;;;;59-86;Oxford University Press;Oxford;2014
Carrafiello, M. L. ;;Robert Parsons and English Catholicism, 1580-1610;Robert Parsons and English Catholicism, 1580-1610;;;;;;Susquehanna University Press ;Selinsgrove;1998
Coffey, J.;;Persecution and Toleration in Protestant England, 1558– 1689;Persecution and Toleration in Protestant England, 1558– 1689;;;;;;Longman;Harlow;2000
Duffy, E. ;;William, Cardinal Allen, 1532-1594;William, Cardinal Allen, 1532-1594;;Recusant History;22;;278-279;;;1995
Elton, G. R. ;;Policy and Police: the Enforcement of Reformation in The Age of Thomas Cromwell ;Policy and Police: the Enforcement of Reformation in The Age of Thomas Cromwell ;;;;;;Cambridge University Press;Cambridge;1972
Elton, G. R. ;Shells, W. J. ;Persecution and Toleration in the English Reformation;Persecution and Toleration in the English Reformation;Persecution and Toleration;;;;163-187;Oxford University Press;Oxford;1984
"Evenden, E.; Freeman, T. S. ";;Print, Profit and Propaganda: The Elizabethan Privy Council and the 1570 Edition of Foxe’s Book of Martyrs’;Print, Profit and Propaganda: The Elizabethan Privy Council and the 1570 Edition of Foxe’s Book of Martyrs’;;The English Historical Review;119;;1288-1307;;;2004
Gurnis-Farrell, M. ;"Degenhardt, J. H.; Williamson E. ";Martyrs Acts: Playing with Foxe’s Martyrs on the Public Stage;Martyrs Acts: Playing with Foxe’s Martyrs on the Public Stage;Religion and Drama in Early Modern England. The Performance of Religion on the Renaissance Stage;;;;175-194;Ashgate;Aldershot;2011
Houliston, V. ;;Catholic Resistance in Elizabethan England. Robert Persons’s Jesuit Polemic, 1580-1610;Catholic Resistance in Elizabethan England. Robert Persons’s Jesuit Polemic, 1580-1610;;;;;;Ashgate;Aldershot;2007
McCoog, T. M. ;Shagan, E. H. ;Construing martyrdom in the English Catholic Community;Construing martyrdom in the English Catholic Community;Catholics and the ‘Protestant Nation’: Religious Politics and Identity in Early Modern England;;;;103-106;Manchester University Press;Manchester;2005
Mueller, J. M. ;"McEachern, C.; Shuger, D.";Pain, Persecution, and the Construction of Selfhood in Foxe’s Acts and Monuments;Pain, Persecution, and the Construction of Selfhood in Foxe’s Acts and Monuments;Religion and Culture in Renaissance England;;;;161-187;Cambridge University Press;Cambridge;2006
Trevor-Roper, H. R. ;;Archbishop Laud, 1573-1645;Archbishop Laud, 1573-1645;;;;;;Macmillan;London ;1962
Weimer, A. C. ;;Martyrs’ Mirror. Persecution and Holiness in Early New England;"Martyrs’ Mirror. Persecution and Holiness in Early New
England";;;;;;Oxford University Press;Oxford;2011
Fudge, T. A.;Middleton, P. ;Bohemian Martyrdom at the Dawn of the Reformation ;Bohemian Martyrdom at the Dawn of the Reformation ;The Wiley Blackwell Companion to Christian Martyrdom ;;;;255-270;John Wiley;Chichester;2020
Cunningham, L. S.;Middleton, P. ;Martyrdom in Roman Catholic Perspective;Martyrdom in Roman Catholic Perspective;The Wiley Blackwell Companion to Christian Martyrdom ;;;;357-364;John Wiley;Chichester;2020
Sheffler, J.;;"Prison Writings of Early Quaker Women: ""We Were Stronger Afterward than Before:""
";;;Quaker History;73;2;25-37;;;1984
Davis, N. Z.;;The Sacred and the Body Social in Sixteenth-Century Lyon;The Sacred and the Body Social;;Past & Present;90;;40-70;;;1981
;"Murdock, G.; Roberts, P.; Spicer, A.";;Ritual and Violence;Ritual and Violence: Natalie Zemon Davis and Early Modern France;Past & Present Supplements;7;;;Oxford University Press;Oxford;2012
Estebe, J.;;The Rites of Violence: Religious Riot in Sixteenth-Century France. A Comment;The Rites of Violence ... A Comment;;Past & Present;67;;127-130;;;1975
Dolgert, S.;;Sacrificing Justice: Suffering Animals, the Oresteia, and the Masks of Consent;Sacrificing Justice;;Political Theory;40;3;263-289;;;2012
Agamben, G.;;;Homo Sacer;Homo Sacer. Il potere sovrano e la nuda vita;;;;;Einaudi;Torino;1995
Sharpe, K.;;;Reading Authority and Representing Rule;Reading Authority and Representing Rule in Early Modern England;;;;;Bloomsbury;London - New York;2013
Visentin, S.;;Étienne de la Boétie: il linguaggio della libertà;Étienne de la Boétie: il linguaggio della libertà;;Scienza & Politica, per una storia delle dottrine;30;58;33-49;;;2018
Leo, R.;;;Tragedy as Philosophy;Tragedy as Philosophy in the Reformation World;;;;;Oxford University Press;Oxford;2019
;"Borsari, M.; Francesconi, D.";;Sacrificio di sé nelle tradizioni religiose;Martirio: il sacrificio di sé nelle tradizioni religiose;;;;;Banca popolare dell'Emilia-Romagna;Modena;2005
Kantorowicz, E. H.;;;The King's Two Bodies;The King's Two Bodies: A Study in Mediaeval Political Theology;;;;;Princeton University Press;Princeton - Oxford;2016
;"Nagy, À. A.; Prescendi, F.";;Sacrifices humains;Sacrifices humains: dossiers, discours, comparaisons. Actes du colloque tenu à l'université de Genève, 19-20 mai 2011;;;;;Brepols;Turnhout;2013
Bremmer, J. N.;Graf, F.;Religion', 'Ritual' and the Opposition 'Sacred vs. Profane'. Notes Towards a Terminological 'Genealogy';Religion', 'Ritual' and the Opposition 'Sacred vs. Profane';Ansichten griechischer Rituale Geburtstagssymposium für Walter Burkert, Castelen bei Basel, 15. bis 18. März 1996;;;;9-32;B.G. Teubner;Stuttgart - Leipzig;1998
Pedahzur, A.;;;Suicide Terrorism;Root Causes of Suicide Terrorism: The Globalization of Martyrdom;;;;;Routledge;New York;2006
Juergensmeyer, M.;;;Terror in the Mind of God;Terror in the Mind of God: The Global Rise of Religious Violence;;;;;University of California Press;Berkeley, CA;2003
"Vattimo, G.; Girard, R.";;;Christianity, Truth, and Weakening Faith;Christianity, Truth, and Weakening Faith: A Dialogue;;;;;Columbia University Press;New York;2010
Smith, L. B.;;;Fools, Martyrs, Traitor;Fools, Martyrs, Traitors: The Story of Martyrdom in the Western World;;;;;Alfred A. Knopf;New York;1997
;"Janes, D.; Houen, P.";;Martyrdom and Terrorism;Martyrdom and Terrorism: Pre-Modern to Contemporary Perspectives;;;;;Oxford University Press;Oxford - New York;2014
Ferrero, M.;;Martyrdom Contracts;Martyrdom Contracts;;Journal of Conflict Resolution;50;6;855-877;;;2006
Ferrero, M.;;The Cult of Martyrs;The Cult of Martyrs;;Journal of Conflict Resolution;57;5;881-904;;;2012
Schmitt, C.;;;Politische Theologie;Politische Theologie: Vier Kapitel zur Lehre von der Souveränität;;;;;Duncker & Humblot;München;1922
Girard, René;;;Le bouc émissaire;Le bouc émissaire;;;;;Éditions Grasset;Paris;1982
