AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Fornari, G.;;;;Da Dioniso a Cristo. Conoscenza e sacrificio nel mondo greco e nella civiltà occidentale. Seconda edizione riveduta e ampliata;;;;;Marietti 1820;Genova;2006
Manns, F.;;;;The Sacrifice of Isaac in the Three Monotheistic Religion: proceedings of a symposium on the interpretation of the Scriptures held in Jerusalem, March 16-17;;;;;Franciscan Printing Press;Jerusalem;1995
Sheehan, J.;;;;Sacred and Profane: Idolatry, Antiquarianism, and the Polemics of Distinction;Past & Present;192;;35-66;;;2006
Sheehan, J.;;;;Sacrifice before the Secular;;105;1;12-36;Representations;;2009
Sheehan, J.;Gagné, R. - Goldhill, S. - Lloyd, G. E. R.;Comparison and Christianity: Sacrifice in the Age of the Encyclopedia;Comparison and Christianity: Sacrifice in the Age of the Encyclopedia;Regimes of Comparatism: Frameworks of Comparison in History, Religion, and Anthropology;;;177-209;;Brill;Leiden;2018
Silber, I. F. ;Baumgarten, A. I.;Echoes of Sacrifice? Repertoires of Giving in the Great Religions;Echoes of Sacrifice? Repertoires of Giving in the Great Religions;Sacrifice in Religious Experience;;;;291-312;Brill;Leiden - Boston;2002
Grottanelli, C.;Amadasi Guzzo, M. G.;Aspetto del sacrificio nel mondo greco e nella Bibbia ebraica;Aspetto del sacrificio nel mondo greco e nella Bibbia ebraica;Sacrificio e Società nel mondo antico;;;;123-162;Laterza;Roma - Bari;1988
Hallo, W. W. ;Miller, Patrick D. - Hanson, P. D. - McBride, S. D. ;The Origins of the Sacrificial Cult: New Evidence from Mesopotamia and Israel;The Origins of the Sacrificial Cult: New Evidence from Mesopotamia and Israel;Ancient Israelite religion : essays in honor of Frank Moore Cross;;;;3-13;Fortress press;Philadelphia;1987
Berbara, M. L.;;Um exemplo de continuidade entre a representação do sacrifício cristão, hebraico e greco-romano no Renascimento: o friso da nave central de San Giovanni Evangelista, em Parma;Um exemplo de continuidade entre a representação do sacrifício cristão, hebraico e greco-romano no Renascimento: o friso da nave central de San Giovanni Evangelista, em Parma;;Figura;8;1;164-183;;;2020
Berbara, M. L.;;El Laocoonte y el tema del Sacrificio entre el Renacimiento y la Contrarreforma;El Laocoonte y el tema del Sacrificio entre el Renacimiento y la Contrarreforma;;Goya. Revista de Arte;269;;112-124;;;1999
Kern, M.;;;;Transkulturelle Imaginationen des Opfers in der Frühen Neuzeit Übersetzungsprozesse zwischen Mexiko und Europa;;;;;Berlin Deutscher Kunstverlag;Berlin;2015
Kern, M.;Großmann, G. U.  - Krutisch, P.;Transcultural Negotiation in Early Modern Era Art?: the pre-Columbian Blood Sacrifice Bowl at the Foot of the Stone Cross in Cuernavaca, Mexico;Transcultural Negotiation in Early Modern Era Art?: the pre-Columbian Blood Sacrifice Bowl at the Foot of the Stone Cross in Cuernavaca, Mexico;The Challenge of the Object. Proceedings of the 33rd Congress of the International Committee of the History of Art ;;;;211-215;Almuth Klein;Nürnberg;2013
Baumeister, T.;;;;Genèse et évolution de la théologie du martyre dans l’Église ancienne;;;;;Peter Lang;Bern - Berlin - Frankfur - New York - Paris - Wien;1991
