AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Sacerdoti, G.;;Sacrificio e sovranità. Teologia e politica nell’Europa di Shakespeare e Bruno;Sacrificio e sovranità. Teologia e politica nell’Europa di Shakespeare e Bruno;;;;;;Einaudi;Torino;2002
Fordahl, C.;;;;The Ultimate Sacrifice: Martyrdom, Sovereignty, and Secularization in the West;;;;;Routledge;London - New York;2020
Lacey, A.;;The Cult of King Charles the Martyr;The Cult of King Charles the Martyr;;;;;;Boydell Press;Woodbridge;2003
Potter, L.;Corns, T. N. ;The Royal Martyr in the Restoration;The Royal Martyr in the Restoration;The Royal Image: Representations of Charles I;;;;240-262;Cambridge University Press;Cambridge;1999
Wingfield-Stratford, E. C. ;;King Charles the Martyr, 1643 - 1649 ;;;;;;;Hollis & Carter;London;1950
Coit, C. W. ;;The Life of Charles I, the Royal Martyr;;;;;;;Houghton Mifflin Company;Boston - New York;1926
Clerici, A.;;;Monarcomachi e giusnaturalisti;Monarcomachi e giusnaturalisti nella Utrecht del Seicento: Willem Van der Muelen e la legittimazione olandese della Glorious Revolution;;;;;Franco Angeli;Milano;2007
Davis, N. Z.;;The Rites of Violence: Religious Riot in Sixteenth-Century France;The Rites of Violence;;Past & Present;59;;51-91;;;1973
Greenberg, M.;;;Racine;Racine: From Ancient Myth to Tragic Modernity;;;;;University of Minnesota Press;Minneapolis - London;2010
Gliksohn, J. M.;;;Iphigénie;Iphigénie de la Grèce antique à l'Europe des Lumières;;;;;Presses universitaires de France;Paris;1985
Jackson, K.;;;Shakespeare and Abraham;Shakespeare and Abraham;;;;;University of Notre Dame Press;Notre Dame, IN;2015
Robertson, G.;;;The Tyrannicide Brief;The Tyrannicide Brief: The Story of the Man Who Sent Charles I to the Scaffold;;;;;Chatto & Windus;London;2005
Soboslai, J.;;;Performing One's Own Death;Performing One's Own Death: Martyrdom, Sovereignty and Truth;;;;;University of California;Santa Barbara;2016
Stanton, D. C.;;The Daughter's Sacrifice and the Paternal Order in Racine's Iphigénie en Aulide;The Daughter's Sacrifice ... in Racine's Iphigénie;The Dynamics of Gender in Early Modern France: Women Writ, Women Writing;;;;63-88;Ashgate;Furnham - Burlington;2014
Tutino, S.;;Huguenots, Jesuits and Tyrants: Notes on the Vindiciae contra tyrannos in Early Modern England;Huguenots, Jesuits and Tyrants;;Journal of Early Modern History;11;3;175-196;;;2007
Monnier, R.;;Use and Role of the Concepts of Tyranny and Tyrannicide During the French Revolution;Tyranny and Tyrannicide During the French Revolution;;Contributions to the History of Concepts;2;1;19-41;;;2006
Hubac, J.;;Tyrannie and tyrannicide selon Pierre Jurieu;Tyrannie and tyrannicide selon Pierre Jurieu;;Bulletin de la Société de l'histoire du protestantisme français;152;4;583-609;;;2006
Höpfl, H.;;Tyrannicide, the Oath of Allegiance Controversy, and the Assassination of Henry IV;Tyrannicide ... and the Assassination of Henry IV;Jesuit Political Thought: The Society of Jesus and the State, c. 1540-1630;;;;;Cambridge University Press;Cambridge;2004
Bart, J.;;La justification du tyrannicide selon les monarchomaques;La justification du tyrannicide;;Le genre humain;44;;47-58;;;2005
Jaume, L.;;Condorcet: droit de résistance ou censure du peuple?;Condorcet: droit de résistance ou censure du peuple?;;Le genre humain;44;;59-72;;;2005
Sirluck, E.;;Eikon Basilike, Eikon Alethine, and Eikonoklastes;Eikon Basilike, Eikon Alethine, and Eikonoklastes;;Modern Language Notes;69;7;497-502;;;1954
Hulse, C.;"Miller, D. L.; O'Dair, S.; Weber, H.";Dead Man's Treasure;Dead Man's Treasure: The Cult of Thomas More;The Production of English Renaissance Culture;;;;190-224;Cornell University Press;Ithaca, NY;1994
De Baecque, A.;;;La Gloire et l'Effroi;La Gloire et l'Effroi. Sept morts sous la Terreur;;;;;Bernard Grasset;Paris;1997
Hunter, D. M.;Heffernan, J. A. W.;Swordplay: Jacques-Louis David's Painting of Le Peletier de Saint-Fargaeu on His Deathbed ;Swordplay: Jacques-Louis David's Painting;Representing the French Revolution: Literature, Historiograpy, Art;;;;;University Press of New England;Hanover, NH;1992
Roberts, W.;;;Jacques-Louis David, Revolutionary Artist;Jacques-Louis David, Revolutionary Artist;;;;;The University of North Carolina Press;Chapel Hill, NC;1992
Roberts, W.;;;Jacques-Louis David and Jean-Luois Prieur;Jacques-Louis David and Jean-Luois Prieur: Revolutionary Artists. The Public, the Populace and Images of the French Revolution;;;;;State University of New York Press;Albany, NY;1999
Simon, R.;;David's Martyr-Portrait of Le Peletier De Saint-Fargeau and the Conundrums of Revolutionary Representation;David's Martyr-Portrait of Le Peletier ;;Art History;14;4;451-487;;;1991
Enriquez, E.;;La résistance: une souveraineté sans sacrifice et sans espérance;La résistance: une souveraineté sans sacrifice;;Nouvelle revue de psychosociologie;7;;187-198;;;2009
