AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Engamarre, M.;;Un pamphlet calviniste de 1561, best-seller, restitué a son auteur (de Théodore de Béze a Augustin Marlorat);Un pamphlet calviniste de 1561, best-seller, restitué a son auteur (de Théodore de Béze a Augustin Marlorat);;Bibliothèque d'Humanisme et Renaissance;70;2;377-409;;;2008
Bossy, J.;;;;The Mass as a Social Institution 1200-1700;Past & Present;100;29-61;;;;1983
Bossy, J.;;;;Dalla comunità all'individuo : per una storia sociale dei sacramenti nell'Europa moderna;;;;;Einaudi;Torino;1998
Clark, F.;;;;Eucharistic Sacrifice and the Reformation;;;;;Basil Blackwell;Oxford;1967
Rubin, M.;;;;Corpus Christi: The Eucharist in Late Medieval Culture;;;;;Cambridge University Press;Cambridge;1991
Lee Palmer, W.;;;;The Eucharist in the Reformation. Incarnation and Liturgy;;;;;Cambridge University Press;Cambridge;2006
Cavenaugh, W. T. ;;Eucharistic Sacrifice and the Social Imagination in Early Modern Europe;Eucharistic Sacrifice and the Social Imagination in Early Modern Europe;;Journal of Medieval and Early Modern Studies;31;3;585-606;;;2001
Lang, B.;Baumgarten, A. I.;This is my Body: Sacrificial Presentation and the Origins of Christian Ritual;This is my Body: Sacrificial Presentation and the Origins of Christian Ritual;Sacrifice in Religious Experience;;;;189-205;Brill;Leiden - Boston;2002
Johannes Stökl, D.;Baumgarten, A. I.;The Christian Exegesis of the Scapegoat Between Jews and Pagans;The Christian Exegesis of the Scapegoat Between Jews and Pagans;Sacrifice in Religious Experience;;;;207-232;Brill;Leiden - Boston;2002
Hunt, A.;;;;The Lord's Supper in Early Modern England;Past & Present;161;;;;;
Robertson Smith, W.;;Sacrifice;Sacrifice;Encyclopedia Britannica;;9th ed.;;;J.M. Stoddard;Philadelphia;1875-89
Leppin, V.;Palmer Wandel, L.;Martin Luther;Martin Luther;A Companion to the Eucharist in the Reformation;;;;39-56;Brill;Leiden - Boston;2014
Euler, C.;Palmer Wandel, L.;Huldrych Zwingli and Heinrich Bullinger;Huldrych Zwingli and Heinrich Bullinger;A Companion to the Eucharist in the Reformation;;;;57-74;Brill;Leiden - Boston;2014
Thompson, N.;Palmer Wandel, L.;Martin Bucer;Martin Bucer;A Companion to the Eucharist in the Reformation;;;;75-95;Brill;Leiden - Boston;2014
Wolterstorff, N.;Palmer Wandel, L.;John Calvin;John Calvin;A Companion to the Eucharist in the Reformation;;;;97-113;Brill;Leiden - Boston;2014
Rempel, J. D.;Palmer Wandel, L.;Anabaptist theologies of the Eucharist;Anabaptist theologies of the Eucharist;A Companion to the Eucharist in the Reformation;;;;115-137;Brill;Leiden - Boston;2014
Turrell, J. F.;Palmer Wandel, L.;Anglican theologies of the Eucharist;Anglican theologies of the Eucharist;A Companion to the Eucharist in the Reformation;;;;139-158;Brill;Leiden - Boston;2014
Daly, R. J.;Palmer Wandel, L.;The Council of Trent;The Council of Trent;A Companion to the Eucharist in the Reformation;;;;159-182;Brill;Leiden - Boston;2014
Brian, I.;Palmer Wandel, L.;Catholic liturgies of the Eucharist in the time of Reform;Catholic liturgies of the Eucharist in the time of Reform;A Companion to the Eucharist in the Reformation;;;;185-203;"
Brill";Leiden - Boston;2014
Schattauer, T. H.;Palmer Wandel, L.;From sacrifice to supper : Eucharistic practice in the Lutheran Reformation;From sacrifice to supper : Eucharistic practice in the Lutheran Reformation;A Companion to the Eucharist in the Reformation;;;;205-230;"
Brill";Leiden - Boston;2014
Lara, J.;Palmer Wandel, L.;The Spanish New World;The Spanish New World;A Companion to the Eucharist in the Reformation;;;;293-319;"
Brill";Leiden - Boston;2014
Timmermann, A.;Palmer Wandel, L.;A view of the Eucharist on the eve of the Protestant Reformation;A view of the Eucharist on the eve of the Protestant Reformation;A Companion to the Eucharist in the Reformation;;;;365-398;"
Brill";Leiden - Boston;2014
Wild, C. J.;Palmer Wandel, L.;Enlightenment aesthetics and the eucharistic sign;Enlightenment aesthetics and the eucharistic sign;A Companion to the Eucharist in the Reformation;;;;489-507;"
Brill";Leiden - Boston;2014
Humphrey, E. M.;Boersma, H.  - Levering, M.;Sacrifice and sacrament : sacramental implications of the death of Christ;Sacrifice and sacrament : sacramental implications of the death of Christ;The Oxford Handbook of sacramental theology;;;;68-82;"
Brill";Leiden - Boston;2014
Schubert, A.;;;;Pasto divino: storia culinaria dell'Eucaristia;;;;;Carocci;Roma;2019
Thompson, N.;;;;Eucharistich Sacrifice and Patristic Tradition in the Theology of Martin Bucer, 1534-1546;;;;;Brill;Leiden - Boston;2005
Chapman, M. E.;;Sacrament and Sacrifice in the Theology of the Mass according to Luther, 1513–1526;Sacrament and Sacrifice in the Theology of the Mass according to Luther, 1513–1526;;One in Christ;28;3;248-266;;;1992
Bellarmino, R.;;Disputationes De controversiis christianae fidei adversus huius temporis haereticos;;;;;;;Bonarum Artium;Rome;1832 - 1840
Bona, G.;;;;De la Liturgie, ou Traité sur le saint sacrifice de la messe;;;;;n. p.;Paris;1854
Brevint, D.;;;;The Christian Sacrament and Sacrifice. Missale Romanum;;;;;"Vincent J.; Hatchard and son";London;1847
