AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Tarantino, G.;Tarantino, G.;“I am contented to die”: The Letters from Prison of the Waldensian Sebastian Bazan (d. 1623) and the Anti-Jacobite Narratives of the Reformed Martyrs of Piedmont;;Feeling Exclusion: Religious Conflict, Exile and Emotions in Early Modern Europe;;;;126-145;Routledge;Abingdon - Oxon - New York;2019
Tarantino, G.;Broomhall, S. - Finn, S.;A 'Protestant' approach to colonization as envisaged in John Lockman's Protestant martyrology (1760);;Violence and Emotions in Europe, 1400-1800;;;;185-201;Routledge;London - New York;2015
Monta, S. B. ;Mettepenningen, J. ;Martyrdom in print in early modern England: the case of Robert Waldegrave;;More than a memory: The discourse of martyrdom and the construction of Christian identity in the history of Christianity;;;;271-293;Leemans;Leuven;2005
Kolb, R.;Mettepenningen, J. ;From Hymn to History of Dogma: Lutheran Martyrology in the Reformation Era;;More than a memory: The discourse of martyrdom and the construction of Christian identity in the history of Christianity;;;;295-314;Leemans;Leuven;2005
Akerboom, D. - Gielis, M.;Mettepenningen, J. ;"""A new song shall begin here ..."": The martyrdom of Luther's followers among Antwerp's Augustinians on july I, 1523 and Luther's response";;More than a memory: The discourse of martyrdom and the construction of Christian identity in the history of Christianity;;;;243-270;Leemans;Leuven;2005
Cavallotto, S. ;;Sui martirologi protestanti del XVI secolo: appunti ed interrogativi per una ricerca;;;Europa Sacra;;;321-351;;;2002
Beachy, K. ed.;;Tongue Screws and Testimonies: Poems, Stories, and Essays Inspired by the Martyrs' Mirror  ;Tongue Screws and Testimonies: Poems, Stories, and Essays Inspired by the Martyrs' Mirror  ;;;;;;Herald Press;Scottdale, PA;2010
Bower, M. H. ed. ;;"The Fourteen of Meaux: An Account of the Earliest ""Reformed Church"" Within France Proper, Organized by Estienne Mangin and Pierre Le Clerc, who with Twelve Other Persons, Suffered Death by Fire in 1546";"The Fourteen of Meaux: An Account of the Earliest ""Reformed Church"" Within France Proper, Organized by Estienne Mangin and Pierre Le Clerc, who with Twelve Other Persons, Suffered Death by Fire in 1546";;;;;;Longmans Green;London;1894
Byman, S.;;Ritualistic Acts and Compulsive Behaviour: the Pattern of Tudor Martyrdom ;Ritualistic Acts and Compulsive Behaviour: the Pattern of Tudor Martyrdom ;;"American Historical 
Review";83;3;625-643;;;1978
Covington, S.;;Paratextual Strategies in Thieleman van Braght's Martyrs' Mirror ;Paratextual Strategies in Thieleman van Braght's Martyrs' Mirror ;;Book History;9;;1-29;;;2006
Covington, S.;;“Spared not from tribulation”: Children in Early Modern Martyrologies;“Spared not from tribulation”: Children in Early Modern Martyrologies;;"Archiv für 
Reformationsgeschichte ";97;1;165-183;;;2006
Covington, S.;;Jan Luyken, the Martyrs Mirror, and the Iconography of Suffering;Jan Luyken, the Martyrs Mirror, and the Iconography of Suffering;;"Mennonite 
Quarterly Review";85;;441-476;;;2011
Cramer, S.;;De geloofwaardigheid van van Braght;De geloofwaardigheid van van Braght;;"Doopsgezinde 
Bijdragen";39;;65-164;;;1899
Cramer, S.;;Het eigenhandig laatst adieu van Maeyken Wens aan haar kind;Het eigenhandig laatst adieu van Maeyken Wens aan haar kind;;"Doopsgezinde 
Bijdragen";44;;115-133;;;1904
Crumrine, H.;;The Oxford Martyrs and the English Protestant Movement, 1553-58 ;The Oxford Martyrs and the English Protestant Movement, 1553-58 ;;The Historian;70;1;75-90;;;2008
Devas, R.;;Dominican Martyrs of Great Britain ;Dominican Martyrs of Great Britain ;;;;;;Burns&Oats;London;1912
"Dickens, A. G.; Tonkin J.";;Weapons of Propaganda: The Martyrologies;Weapons of Propaganda: The Martyrologies;The Reformation in Historical Thought ;;;;39-57;Harvard University Press;Cambridge, Mass.;1985
Dickey, S. S.;"Shetter, W. Z.; Cruysse, I. van der";Mennonite Martyrdom in Amsterdam and the Art of Rembrandt and his Contemporaries;Mennonite Martyrdom in Amsterdam and the Art of Rembrandt and his Contemporaries;Contemporary Explorations in the Culture of the Low Countries;;;;9-89;University Press of America;Lenham, MD;1996
Doerksen, V. G. ;;The Anabaptist Martyr Ballad;The Anabaptist Martyr Ballad;;Mennonite Quarterly Review;51;;5-21;;;1977
