AUTHOR;DATES / CENTURY;VIAF;TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;KEY WORDS Unite;LINKS;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3
Adams, Thomas;1583 - 1652;http://viaf.org/viaf/19934845;The sacrifice of thankefulnesse A sermon preached at Pauls Crosse, the third of December, being the first Adventuall Sunday, anno 1615 ;1616;London;;Thomas Purfoot, for Clement Knight;English;;Sermons;Puritanism;Eucharist;Christ's sacrifice;;"Sermons;Puritanism;Eucharist;Christ's sacrifice;";https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A02367/A02367.html?sequence=5&isAllowed=y#index.xml-group.1_text.1_body.1_div.1_div.8;4. Sacrifice and Eucharist (16th-18th century);;
Addison, Lancelot;1632 - 1703;http://viaf.org/viaf/8268610;The Christians daily sacrifice duly offer'd, or, A practical discourse teaching the right performance of prayer;1698;London;;Robert Clavel;English;;Prayers;Anglicanism;;;;"Prayers;Anglicanism;";https://books.google.it/books?id=J5pkAAAAcAAJ&newbks=0&printsec=frontcover&dq=The+Christians+daily+sacrifice+duly+offer%27d&hl=it&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);;
Ainsworth, Henry;1571 ? - 1622 ?;http://viaf.org/viaf/2500423;Annotations upon the five bookes of Moses, the booke of the Psalmes, and the Song of Songs, or, Canticles Wherein the Hebrevv vvords and sentences, are compared with, and explained by the ancient Greeke and Chaldee versions, and other records and monuments of the Hebrewes: but chiefly by conference with the holy Scriptures, Moses his words, lawes and ordinances, the sacrifices, and other legall ceremonies heretofore commanded by God to the Church of Israel, are explained. With an advertisement touching some objections made against the sinceritie of the Hebrew text, and allegation of the Rabbines in these annotations. As also tables directing unto such principall things as are observed in the annotations upon each severall booke;1627;London;;"M. Flesher ; J. Haviland ; John Bellamie";English;"London, M. Parson 1639 ; Glasgow Blackie 1843";Bible, Song of Songs;Bible, Pentateuch;Jews;Ancient Greek;Bible, Psalms;"Bible, Song of Songs;Bible, Pentateuch;Jews;Ancient Greek;Bible, Psalms";https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A11649;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Allen, William;1532 - 1594;http://viaf.org/viaf/9856234;Regii Sacrae theologiae professoris in academia duacensi libri tres. Id est, De Sacramentis in genere, Lib. I. De Sacramento Eucharistiae. Lib. I. De Sacrificio Eucharistiae. Lib. I.: Ex vivae vocis diligenti & accurata tractatione, quem idem his in rebus contra nostri Temporis Haereticos in Schola Theologorum habuit;1576;Antwerp;;Iohannes Foulerus;Latin;London, John Haviland for John Bellamie, 1622;Catholicism;Sacraments;Controversy;Eucharist;;"Catholicism;Sacraments;Controversy;Eucharist;";https://books.google.it/books?id=kTLI6fmRlBsC&printsec=frontcover&source=gbs_v2_summary_r&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Alsted, Johann Heinrich;1588 - 1638;http://viaf.org/viaf/64053449;De Manducatione Spirituali, Transsubstantiatione, Sacrificio Missae Dissertatio: Eiusdem De Ecclesia eiusque partibus & proprietatibus Tractatus Ad Versus Bellarmini, Et Becani, & aliorum Pontificiorum errores. Qui supplem. vide D. Chamieri Panstratiae in editione Germanica adiectus est. Accessit Joh. Prideauxii Oxon. Acad. Theol. de Ecclesiae Visibilitate doctissima lectio: & Ben. Tur. Prof. Gen. de Natura Ecclesiae Disputatio ;1630;Geneve;;Berjon;Latin;;Calvinism;Eucharist;Mass;Christ's sacrifice;;"Calvinism;Eucharist;Mass;Christ's sacrifice;";https://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Abncf.firenze.sbn.it%3A21%3AFI0098%3AMagliabechi%3ACFIE011030;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);
Anonymous / Unknown;;;A few thoughts upon the love and sacrifice of Jesus Christ. Sent by a well-wisher to religion, in a letter to his correspondent;1765;Glasgow;;John Bryce;English;;Biblical Commentaries;Bible, New Testament;Bible, Ephesinians;;;"Biblical Commentaries;Bible, New Testament;Bible, Ephesinians;;";https://lib.ugent.be/en/catalog/rug01:001157253;1. Sacrifice and Bible (16th-18th century);;
Aresi, Paolo;1574 - 1644;http://viaf.org/viaf/22387007;Disputatio de aquae transmutatione in sacrificio missa;1628;Antwerp ;;Martinus Nutius;Latin;;Catholicism;Disputes;Sacraments;Mass;;"Catholicism;Disputes;Sacraments;Mass;";https://books.google.it/books?id=FyxAAAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Aversa, Raffaele;1589 - 1657;http://viaf.org/viaf/79120330;De eucharistiae sacramento et sacrificio, de poenitentiae sacramento et virtute et de extrema Unctione: tractatus theologici ac morales speculatiua simul et practica doctrina accurate ac dilucide complectens;1642;Bologna;;Carolus Zenerus;Latin;;Catholicism;Disputes;Sacraments;Mass;;"Catholicism;Disputes;Sacraments;Mass;";https://books.googleusercontent.com/books/content?req=AKW5QacPIA5Mo71gW39JTf12eNC1li840YdqkvRpETm8dBY-TSeV0pd6haMBxF_k_dyezlII5kXMakr5NgKOO1Qly006an4Hpn2joQGiHYpBupia4eo3GHlBejMDTFEh0qVLZdGpitZe6SBVGAtNdrSzR9wDRtjYRF8SKH4OMBl6TxgfSHBYewA9ScQ590ZqMetIjs3KeB6CmKprXRKQyb_9OCPnCqnk9sx9jaYcAVaEhltR_uPd4rMC0XQkQSWN_aQGBVmLoeQj1jgQIh1evZgJudOPiMoYT0fO4UB8fqTD2TrHCEBjl8A;4. Sacrifice and Eucharist (16th-18th century);;
Bacherius, Petrus;1517 - 1601;http://viaf.org/viaf/101053694;Libelli duo in misoliturgos, hoc est, missae osores quorum prior de Iudaeorum paganorumque sacrificiis generatim, posterior vero de unico Christianorum sacrificio late tractat;1556;Gand;;Cornelius Manilius;Latin;;Catholicism;Judaism;Paganism;Patristics;Mass;"Catholicism;Judaism;Paganism;Patristics;Mass";https://books.googleusercontent.com/books/content?req=AKW5QadAedIGfUg7J49hMtw9V113iBVU47w9ya_RN7K-p-R0RxbWvMuveqs62yDH1rzlhoHOSTcK15QwbMuru2UZPi_VPez8Fr8n13wY8PUJomtq3a0N2CUL3ENkehCnYuu8i-dXZ-ZX1qiUJlFNmp4n2vYnNaaO-Pp5Gkw3lR6ldLcO6SGKeAPCKtbI27DoQFiNShamUhiGXV20R9X3nKEayi3KiSNlsT34xsj3OtV_UMMf_wSpsbSecT2IW0lGn1Raia7jjKomdjbZCAwWktY3hawmor3K0DjJH_DS4AwMH65Miu7EuJ4;4. Sacrifice and Eucharist (16th-18th century);1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century)
Bacmeister, Lucas;1530 - 1608;http://viaf.org/viaf/57440260;Disputatio complectens summam et ordinem doctrinae, in epistola ad Hebraeos traditae, De sacerdotio et sacrificio Christi: instituta, ut studiosi ad lectionem eius epistolae invitentur;1569;Rostock;;Lucius;Latin;;Lutheranism;Disputes;Bible, New Testament;Christ's Sacrifice;;"Lutheranism;Disputes;Bible, New Testament;Christ's Sacrifice;";https://books.google.it/books?id=Y_U7AAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
