AUTHOR;EDITOR;TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3;TOPIC OR SUBJECT 4;TOPIC OR SUBJECT 5
Fornari, G.;;;Da Dioniso a Cristo. Conoscenza e sacrificio nel mondo greco e nella civiltà occidentale. Seconda edizione riveduta e ampliata;;;;;Marietti 1820;Genova;2006;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;
Manns, F.;;;The Sacrifice of Isaac in the Three Monotheistic Religion: proceedings of a symposium on the interpretation of the Scriptures held in Jerusalem, March 16-17;;;;;Franciscan Printing Press;Jerusalem;1995;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);;;
Sheehan, J.;;;Sacred and Profane: Idolatry, Antiquarianism, and the Polemics of Distinction;Past & Present;192;;35-66;;;2006;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);0. General bibliography (19th-21th century);;;
Sheehan, J.;;;Sacrifice before the Secular;;105;1;dic-36;Representations;;2009;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);0. General bibliography (19th-21th century);;;
Sheehan, J.;Gagné, R. - Goldhill, S. - Lloyd, G. E. R.;Comparison and Christianity: Sacrifice in the Age of the Encyclopedia;Regimes of Comparatism: Frameworks of Comparison in History, Religion, and Anthropology;;;177-209;;Brill;Leiden;2018;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Silber, I. F. ;Baumgarten, A. I.;Echoes of Sacrifice? Repertoires of Giving in the Great Religions;Sacrifice in Religious Experience;;;;291-312;Brill;Leiden - Boston;2002;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Grottanelli, C.;Amadasi Guzzo, M. G.;Aspetto del sacrificio nel mondo greco e nella Bibbia ebraica;Sacrificio e Società nel mondo antico;;;;123-162;Laterza;Roma - Bari;1988;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Hallo, W. W. ;Miller, Patrick D. - Hanson, P. D. - McBride, S. D. ;The Origins of the Sacrificial Cult: New Evidence from Mesopotamia and Israel;Ancient Israelite religion : essays in honor of Frank Moore Cross;;;;mar-13;Fortress press;Philadelphia;1987;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Berbara, M. L.;;Um exemplo de continuidade entre a representação do sacrifício cristão, hebraico e greco-romano no Renascimento: o friso da nave central de San Giovanni Evangelista, em Parma;;Figura;8;1;164-183;;;2020;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);;;
Berbara, M. L.;;El Laocoonte y el tema del Sacrificio entre el Renacimiento y la Contrarreforma;;Goya. Revista de Arte;269;;112-124;;;1999;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Kern, M.;;;Transkulturelle Imaginationen des Opfers in der Frühen Neuzeit Übersetzungsprozesse zwischen Mexiko und Europa;;;;;Berlin Deutscher Kunstverlag;Berlin;2015;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);7. Sacrifices of self: Martirology and Catholic global missions (16th-18th century);;;
Kern, M.;Großmann, G. U.  - Krutisch, P.;Transcultural Negotiation in Early Modern Era Art?: the pre-Columbian Blood Sacrifice Bowl at the Foot of the Stone Cross in Cuernavaca, Mexico;The Challenge of the Object. Proceedings of the 33rd Congress of the International Committee of the History of Art ;;;;211-215;Almuth Klein;Nürnberg;2013;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Beek, W. E. A.;"Duyndam, J.; Korte A.-M.; Poorthuis, M.";The Kapsiki Home Sacrifice;Sacrifice in Modernity : Community, Ritual, Identity : from Nationalism and Nonviolence to Health Care and Harry Potter;;;;17-32;Brill;"Leiden; Boston";2017;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Burkert, W.;;;Homo necans: antropologia del sacrificio cruento nella Grecia antica;;;;;Boringhieri;Torino;1981;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Derchain, P.;;;Le sacrifice de l'oryx;;;;;Fondation Egyptologique Reine Elisabeth;Bruxelles;1962;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Février, J. G.;;Essai de reconstitution du sacrifice Molek;;Journal asiatique;248;;167-187;Imprimerie Nationale;Paris;1960;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Lennon, T. M.;;;Sacrifice ald Self-Interest in Seventeenth-Century France : Quietism, Jansenism and Cartesianism;;;;;Brill;Leiden;2019;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);6. Sacrifices of self: Martyrology after Reformation (16th-18th century);;;
Lévi, S.;;;La doctrine du sacrifice dans les Brâhmaṇas;;;;;Presses universitaires de France;Paris;1966;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Stroumsa, G. G.;;;La fin du sacrifice : les mutations religieuses de l'antiquite tardive;;;;;Odile Jacob;Paris;2005;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
