AUTHOR;EDITOR;TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3;TOPIC OR SUBJECT 4;TOPIC OR SUBJECT 5
Sacerdoti, G.;;Sacrificio e sovranità. Teologia e politica nell’Europa di Shakespeare e Bruno;;;;;;Einaudi;Torino;2002;3. Sacrifice and politics (16th-18th century);0. General bibliography (19th-21th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Engamarre, M.;;Un pamphlet calviniste de 1561, best-seller, restitué a son auteur (de Théodore de Béze a Augustin Marlorat);;Bibliothèque d'Humanisme et Renaissance;70;2;377-409;;;2008;4. Sacrifice and Eucharist (16th-18th century);;;;
Bossy, J.;;;The Mass as a Social Institution 1200-1700;Past & Present;100;29-61;;;;1983;4. Sacrifice and Eucharist (16th-18th century);;;;
Bossy, J.;;;Dalla comunità all'individuo : per una storia sociale dei sacramenti nell'Europa moderna;;;;;Einaudi;Torino;1998;4. Sacrifice and Eucharist (16th-18th century);;;;
Clark, F.;;;Eucharistic Sacrifice and the Reformation;;;;;Basil Blackwell;Oxford;1967;4. Sacrifice and Eucharist (16th-18th century);;;;
Rubin, M.;;;Corpus Christi: The Eucharist in Late Medieval Culture;;;;;Cambridge University Press;Cambridge;1991;4. Sacrifice and Eucharist (16th-18th century);;;;
Lee Palmer, W.;;;The Eucharist in the Reformation. Incarnation and Liturgy;;;;;Cambridge University Press;Cambridge;2006;4. Sacrifice and Eucharist (16th-18th century);;;;
Cavenaugh, W. T. ;;Eucharistic Sacrifice and the Social Imagination in Early Modern Europe;;Journal of Medieval and Early Modern Studies;31;3;585-606;;;2001;4. Sacrifice and Eucharist (16th-18th century);;;;
Lang, B.;Baumgarten, A. I.;This is my Body: Sacrificial Presentation and the Origins of Christian Ritual;Sacrifice in Religious Experience;;;;189-205;Brill;Leiden - Boston;2002;4. Sacrifice and Eucharist (16th-18th century);1. Sacrifice and Bible (16th-18th century);;;
Johannes Stökl, D.;Baumgarten, A. I.;The Christian Exegesis of the Scapegoat Between Jews and Pagans;Sacrifice in Religious Experience;;;;207-232;Brill;Leiden - Boston;2002;4. Sacrifice and Eucharist (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;
Hunt, A.;;;The Lord's Supper in Early Modern England;Past & Present;161;;;;;;4. Sacrifice and Eucharist (16th-18th century);;;;
Robertson Smith, W.;;Sacrifice;Encyclopedia Britannica;;9th ed.;;;J.M. Stoddard;Philadelphia;1875-89;4. Sacrifice and Eucharist (16th-18th century);;;;
Leppin, V.;Palmer Wandel, L.;Martin Luther;A Companion to the Eucharist in the Reformation;;;;39-56;Brill;Leiden - Boston;2014;4. Sacrifice and Eucharist (16th-18th century);;;;
