AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Batt, John;16 - 17;Questo John Batt non c'è, quelli che appaiono non sono lui;The royall priesthood of Christians: an excellent treatise, wherein the nature of the priesthood, the function of the priests, and qualitie of the sacrifice is lively portrayed, for the sure building up of the faithfull professors of the gospell, in holinesse and sanctitie of life;The royall priesthood of Christians: an excellent treatise, wherein the nature of the priesthood, the function of the priests, and qualitie of the sacrifice is lively portrayed, for the sure building up of the faithfull professors of the gospell, in holinesse and sanctitie of life;1605;London;T. Este for Thomas Man;English;Catholicism;Priesthood;Judaism;Living Sacrifices;;https://books.googleusercontent.com/books/content?req=AKW5QacGrRJz0RRLEC8ypmVmVYz55BO0eYXmqGH-lyRlyLwJ3kI45OyuQ6qDZJ63dOpcmBvCvoWaE3qJW6_SI2roLs9hBlURKmdDftg2d56ylU7kT8zekJqZIg80WvS7YyHx60GZFdnZPMYC4Nae3LvVBOCuUv-OSgTcLZQ4SjIVKuV6lJYAU0Y8nA-1mlWXbLlYqwzHCjjm7_AfaLcFC4wCPhQxexzy2YxKRoeeXa_oSfVTbnPa1l-mbDKtWkBq2UFBGCUJ-9OQoAqpexKcwU_9bzc-a2H1RVlj32MHSMUQi37-AfJhUVw
Casaubon, Isaac ;1559 - 1614 ;http://viaf.org/viaf/56620173;The originall of idolatries: or, The birth of heresies: a true, sincere, and exact description of all such sacred signes, sacrifices, and sacraments as haue been instituted and ordained of God since Adam;The originall of idolatries: or, The birth of heresies: a true, sincere, and exact description of all such sacred signes, sacrifices, and sacraments as haue been instituted and ordained of God since Adam;1624;London;"George Purslowe ; Miles Flesher";English;Moses;Pre-Mosaic era;Heresy;Idolatry;Sacraments;"https://quod.lib.umich.edu/e/eebo/A18103.0001.001/1:10?rgn=div1;view=fulltext"
Iamblichus;[245] - [325];http://viaf.org/viaf/12310254;De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum. In Platonicum Alcibiadem de anima, atque daemone.Proclus. Idem De sacrificio & magia. de diuinis atque daemonib. Porphyrius. De daemonibus. Mercurii ;De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum. In Platonicum Alcibiadem de anima, atque daemone.Proclus. Idem De sacrificio & magia. de diuinis atque daemonib. Porphyrius. De daemonibus. Mercurii ;1532;Basel;Michael Isigrin;Latin;Porphyry of Tyre;Ancient Egyptians;Theurgy;Platonism;;https://ia600401.us.archive.org/31/items/bub_gb_RXV75Y9aRPYC/bub_gb_RXV75Y9aRPYC.pdf
Ling, Nicholas;? - ?;http://viaf.org/viaf/9530672;A Sum or a brief collection of holy signes, sacrifices and sacraments, even since the beginning of the worlde: and the true originall of the sacrifice of the masse;A Sum or a brief collection of holy signes, sacrifices and sacraments, even since the beginning of the worlde: and the true originall of the sacrifice of the masse;1563;London;Rouland Hall;English;Holocausts;Moses;History of Ancient Rome;Israel;Idolatry;"https://quod.lib.umich.edu/e/eebo2/A13141.0001.001?rgn=main;view=fulltext"
Owtram, William;1626 - 1679;http://viaf.org/viaf/12542420;"De Sacrificiis libri duo; quorum altero explicantur omnia Judaeorum, nonnulla Gentium Profanarum Sacrificia altero Sacrificium Christi. Utroque Ecclesiae Catholicae his de rebus Sententia contra Faustum Socinum, ejusque sectatores defenditur";"De Sacrificiis libri duo; quorum altero explicantur omnia Judaeorum, nonnulla Gentium Profanarum Sacrificia altero Sacrificium Christi. Utroque Ecclesiae Catholicae his de rebus Sententia contra Faustum Socinum, ejusque sectatores defenditur";1677;London;Richard Chiswell;Latin;Anglicanism;Latitudinarianism;Anti-Trinitarian Controversy;Judaism;Christ's Sacrifice;"https://books.google.it/books?id=tZdjAAAAcAAJ&pg=PP7&dq=De+Sacrificiis+libri+duo;+quorum+altero+explicantur+omnia+Judaeorum,+nonnulla+Gentium+Profanarum+Sacrificia;+altero+Sacrificium+Christi.+Utroque+Ecclesiae+Catholicae+his+de+rebus+Sententia+contra+Fau#v=onepage&q&f=false"
Richie, James;? - ?;http://viaf.org/viaf/312896345;A criticism upon modern notions of sacrifices being an examination of Dr. Taylor's scripture-doctrine of atonement examined, In Relation I. To Jewish Sacrifices. II. To the Sacrifice of our Lord Jesus Christ. To which is added an appendix, containing an examination of another notion of Jewish sacrifices, which is exhibited in an anonymous Piece;A criticism upon modern notions of sacrifices being an examination of Dr. Taylor's scripture-doctrine of atonement examined, In Relation I. To Jewish Sacrifices. II. To the Sacrifice of our Lord Jesus Christ. To which is added an appendix, containing an examination of another notion of Jewish sacrifices, which is exhibited in an anonymous Piece;1761;London;C. Henderson, T. Becket, P. A. de Hondt;English;Jews;Jewish Sacrifice;Disputes;Christ's Sacrifice;Controversy;https://books.google.it/books?id=90NiAAAAcAAJ&newbks=0&printsec=frontcover&dq=A+criticism+upon+modern+notions+of+sacrifices&hl=it&redir_esc=y#v=onepage&q=A%20criticism%20upon%20modern%20notions%20of%20sacrifices&f=false
Sykes, Arthur Ashley;[1684] - 1756;http://viaf.org/viaf/100277651;An essay upon the nature, design and origin of sacrifices;An essay upon the nature, design and origin of sacrifices;1748;London;"[John] Knapton ; [Paul] Knapton";English;Anglicanism;Latitudinarianism;Early Christianity;;;https://books.google.it/books/about/An_Essay_on_the_Nature_Design_and_Origin.html?id=UVtIAAAAMAAJ&redir_esc=y
Vitringa, Campegius;1659 - 1722;http://viaf.org/viaf/25398349;Dissertatio theologica tertia, de festo tabernaculorum: quæ singularem ordinem sacrificiorum in eo faciendorum exponit, ad Numer. XXIX. 12-38;Dissertatio theologica tertia, de festo tabernaculorum: quæ singularem ordinem sacrificiorum in eo faciendorum exponit, ad Numer. XXIX. 12-38;1721;n. p.;Henricus Halma;Latin;Reformation;Jews;Sukkot;Theology;Dissertations;https://books.google.it/books/download/Dissertatio_theologica_tertia_de_festo_t.pdf?id=sMhXAAAAcAAJ&hl=it&capid=AFLRE732Kn_j2GLNOUqGKkHnN7PeNR-1PrSifoSfR5HPlOGZMh__MuuYyeZBp5WcdlEDMTH3uevmxxU2HgoAuwYe2m05UrGTLA&continue=https://books.google.com/books/download/Dissertatio_theologica_tertia_de_festo_t.pdf%3Fid%3DsMhXAAAAcAAJ%26output%3Dpdf%26hl%3Dit&redir_esc=y
Whiston, William;1667 - 1752;http://viaf.org/viaf/36927363;The genuine works of Flavius Josephus, the Jewish Historian. Translated from the original Greek, according to Havercamp's accurate edition containing twenty books of the Jewish antiquities, with the appendix, or life of Josephus, written by himself: seven books of the Jewish war: and two books against Apion;The genuine works of Flavius Josephus, the Jewish Historian. Translated from the original Greek, according to Havercamp's accurate edition containing twenty books of the Jewish antiquities, with the appendix, or life of Josephus, written by himself: seven books of the Jewish war: and two books against Apion;1737;London;[William] Bowyer;English;History of the Jews;Animals;War;Philology;Antiquarianism;https://books.google.it/books?id=UQU4AQAAMAAJ&printsec=frontcover&dq=The+genuine+works+of+Flavius+Josephus.+:+Translated+from+the+original+Greek,&hl=it&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwi0-tXD_9fwAhUL-aQKHYE-AewQ6AEwAnoECAUQAg#v=onepage&q=The%20genuine%20works%20of%20Flavius%20Josephus.%20%3A%20Translated%20from%20the%20original%20Greek%2C&f=false
Hutchinson, John;1674 - 1737;http://viaf.org/viaf/69876620;The covenant in the cherubim so the Hebrew writings perfect. Alterations by Rabbies forged. Shewing the evidence for the scriptures that Christianity was exhibited to Adam invisibles by visibles, past and to  come by types by cherubim, urim, tumim, sacrifice, cloud, &c. That Jews and Gentiles understood them that tradition was of the things typified. That though they understood the tradition, even of the covenant before the world, they had perverted the intent of it. That the alterations and stories of the Jews, after they had lost their types and Hebrew, are not traditions, but studied evasions, to expositions of inspired Christians, &c. and to support their apostacy. That the grammatical formation of the Hebrew, which is descriptive, so gives proper names, cannot admit vowel pointing nor Mr. Masclef's method.;The covenant in the cherubim so the Hebrew writings perfect. Alterations by Rabbies forged. Shewing the evidence for the scriptures that Christianity was exhibited to Adam invisibles by visibles, past and to  come by types by cherubim, urim, tumim, sacrifice, cloud, &c. That Jews and Gentiles understood them that tradition was of the things typified. That though they understood the tradition, even of the covenant before the world, they had perverted the intent of it. That the alterations and stories of the Jews, after they had lost their types and Hebrew, are not traditions, but studied evasions, to expositions of inspired Christians, &c. and to support their apostacy. That the grammatical formation of the Hebrew, which is descriptive, so gives proper names, cannot admit vowel pointing nor Mr. Masclef's method.;1734;London;Henry Woodfall;English;Hermeneutics;Jews;Christianism;;;https://books.google.it/books?id=LIheAAAAcAAJ&printsec=frontcover&dq=The+covenant+in+the+cherubim&hl=it&newbks=1&newbks_redir=0&sa=X&redir_esc=y#v=onepage&q=The%20covenant%20in%20the%20cherubim&f=false
