AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Beveridge, William ;1637-1708;http://viaf.org/viaf/67869303/#Beveridge,_William,_1637-1708.;A sermon preach'd before the Lords spiritual and temporal in Parliament assembled in the abbey church at Westminster, January the 30th 1695/6 being the day of the martyrdom of King Charles I;A sermon preach'd before the Lords spiritual and temporal in Parliament ...;1708;London;;B. Hill;English;;English Civil War;Anglicanism;Sermons;;;https://archive.org/details/sermonpreachdbef00beveuoft
Burnet, Gilbert ;1643-1715;http://viaf.org/viaf/22151653/#Burnet,_Gilbert,_1643-1715.;The royal martyr and The dutiful subject, in two sermons: The royal martyr lamented, in a sermon preached at the Savoy, on King Charles the Martyr's day,;The royal martyr ...;1710;London;;J. Meredith;English;;Anglicanism;English Civil War;Regicide;;;https://books.google.com/books?id=6aZCAAAAYAAJ&printsec=frontcover#v=onepage&q&f=false
Glanvill, Joseph;1636-1680;http://viaf.org/viaf/12396611/#Glanvill,_Joseph,_1636-1680;A loyal tear dropt on the vault of our late martyred sovereign in an anniversary sermon on the day of his murther;A loyal tear dropt on the vault of our late martyred sovereign ...;1667;London;;E. Cotes;English;;Anglicanism;English Civil War;;;;https://quod.lib.umich.edu/e/eebo/A42817.0001.001?view=toc
Grey, Zachary;1688-1766;http://viaf.org/viaf/44430360/#Grey,_Zachary,_1688-1766;"An attempt towards the character of the royal martyr King Charles I. From authentic vouchers. Address'd to the author of An essay towards the character of her late majesty Caroline, Queen Comfort of Great Britain, etc. With an appendix.Containing I.A particular relation of the solemnity of King Charles I. His Baptism, from the Herald's office in Edinburgh. In disproof of a fals (but too common) assertion, that he was never Episcopally baptised. An order of the king's funeral. Compared with the pompous one of Oliver Cromwell, from Mercurius Politicus. A proclamation for calling in, and suppressing mr. John Milton;s two villanous investives against the Royal Martyr, with mr. John Goodwin's defence of the king's murther,  ordering them to be burned by the hand of the Common Hangman. Which it plainly appears that had a publick monnument been erected to Milton's memory, in King Charles II's reing, it would have been took'd upon as a mark of disaffection to kingly government.       ";An attempt towards the character of the royal martyr King Charles I ...    ;1738;London;;J. Roberts;English;;English Civil War;Anglicanism;Regicide;;;https://archive.org/details/attempttowardsch00greyuoft
Laud, William;1573-1645;http://viaf.org/viaf/54940373/#Laud,_William,_1573-1645;"The History Of The Troubles And Tryal Of The Most Reverend Father in God, and Blessed Martyr, William Laud, Lord Arch-Bishop of 
Canterbury. Wrote by himself, during his Imprisonment in the Tower. To which is prefixed the diary of his own life. Faithfully and Entirely Published from the Original Copy: and subjoined a Supplement to the Preciding History The Arch-Bishp's Last Will; His Large Answer to the Lord Say's Speech Concerning Liturgies; His Annual Accounts of his Province Delivered to the King; and some other Things related to the History.    ";The History Of The Troubles And Tryal Of  [...] William Laud ...;1695;London;;Chiswell;English;;English Civil War;Anglicanism;;;;https://www.digitale-sammlungen.de/en/view/bsb10936556?page=6,7
Mayhew, Jonathan;1720-1766;http://viaf.org/viaf/42275200/#Mayhew,_Jonathan,_1720-1766;A discourse concerning unlimited submission and non-resistance to the higher powers: with some reflections on the resistance made to King Charles I. and on the anniversary of his death: in which the mysterious doctrine of that prince's saintship and martyrdom is unriddled: the substance of which was delivered in a sermon preached in the West Meeting-House in Boston the Lord's-Day after the 30th of January, 1749/50:  Published at the request of the hearers.;A discourse concerning unlimited submission and non-resistance to the higher powers ...;1750;Boston;;D. Fowle;English;;English Civil War;Anglicanism;Regicide;England;;https://archive.org/details/discourseconcern00mayhrich
Philipps, Fabian ;1601-1690;http://viaf.org/viaf/34801107/#Philipps,_Fabian,_1601-1690;The royall martyr. Or, King Charles the First no man of blood but a martyr for his people Being a brief account of his actions from the beginnings of the late unhappy warrs, untill he was basely butchered to the odium of religion, and scorn of all nations, before his pallace at White-Hall, Jan. 30. 1648. To which is added, A short history of His Royall Majesty Charles the Second, King of England, Scotland, France, and Ireland, defender of the faith, &c. third monarch of Great Brittain.;The royall martyr ...;1660;London;;Henry Bell;English;;English Civil War;Catholicism ;Regicide;;;https://quod.lib.umich.edu/e/eebo/A70797.0001.001?view=toc
Wagstaffe, Thomas;1645 - 1712;http://viaf.org/viaf/35394939/#Wagstaffe,_Thomas,_1645-1712;A vindication of K. Charles the martyr, proving that His Majesty was the author of 'Eikon basilike: against a memorandum said to be written by the Earl of Anglesey and against the exceptions of Dr. Walker and others to which is added a preface wherein the bold and insolent assertions published in a passage of Mr. Bayle's Dictionary, relating to the present controversy are examined and confuted.;A vindication of K. Charles the martyr ...;1711;London;;R. Wilkin;English;;England;English Civil War;Anglicanism ;;;https://archive.org/details/vindicationofkch00wagsuoft
Anonymous / Unknown;17;;"A prophecie of the life, reigne, and death of VVilliam Laud, Archbishop of Canterbury: by an exposition on part of the 13. and 15. chapters of the Revelation of John. Wherein the summe of all his actions are foretold, his name nominated, his correspondency with the Pope, his cruelty to the Church, and the strange wonders declared, which in his time should be done by fire from heaven: and his courts, seals, marks, yea the very monopolies all clearly forshewed: also how by the supreme councell he shalbe put to death; after which they shall rejoyce, and obtaine a finall victory over the Papists in armes against them. Perused and allowed.";A prophecie of the life, reigne, and death of VVilliam Laud ...;1644;[London];;n. p. ;English ;;England;English Civil War;;;;"https://quod.lib.umich.edu/e/eebo/A91072.0001.001?rgn=subject;view=toc;q1=Laud%2C+William%2C+1573-1645+--++Early+works+to+1800"
Anonymous / Unknown;17;;The Scotch souldiers lamentation upon the death of the most glorious and illustrious martyr, King Charles. Shewing, that the authors thereof have out-done all, even Korah, Dathan and Abiram, in rebellion. And himselfe went likewise beyond all, but our blessed Saviour whom he imitated, in his sufferings. To which is annexed, An elegy on the death of that much to be bewailed Prince.;The Scotch souldiers lamentation upon the death of  [...] King Charles ... ;1649;[London];;n. p.;English ;;England;English Civil War;Regicide;;;https://quod.lib.umich.edu/e/eebo2/A94276.0001.001?view=toc
