AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Adams, Thomas;1583 - 1652;http://viaf.org/viaf/19934845;The sacrifice of thankefulnesse A sermon preached at Pauls Crosse, the third of December, being the first Adventuall Sunday, anno 1615 ;The sacrifice of thankefulnesse A sermon preached at Pauls Crosse, the third of December, being the first Adventuall Sunday, anno 1615 ;1616;London;Thomas Purfoot, for Clement Knight;English;Sermons;Puritanism;Eucharist;Christ's sacrifice;;https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A02367/A02367.html?sequence=5&isAllowed=y#index.xml-group.1_text.1_body.1_div.1_div.8
Allen, William;1532 - 1594;http://viaf.org/viaf/9856234;Regii Sacrae theologiae professoris in academia duacensi libri tres. Id est, De Sacramentis in genere, Lib. I. De Sacramento Eucharistiae. Lib. I. De Sacrificio Eucharistiae. Lib. I.: Ex vivae vocis diligenti & accurata tractatione, quem idem his in rebus contra nostri Temporis Haereticos in Schola Theologorum habuit;Regii Sacrae theologiae professoris in academia duacensi libri tres. Id est, De Sacramentis in genere, Lib. I. De Sacramento Eucharistiae. Lib. I. De Sacrificio Eucharistiae. Lib. I.: Ex vivae vocis diligenti & accurata tractatione, quem idem his in rebus contra nostri Temporis Haereticos in Schola Theologorum habuit;1576;Antwerp;Iohannes Foulerus;Latin;Catholicism;Sacraments;Controversy;Eucharist;;https://books.google.it/books?id=kTLI6fmRlBsC&printsec=frontcover&source=gbs_v2_summary_r&redir_esc=y#v=onepage&q&f=false
Aresi, Paolo;1574 - 1644;http://viaf.org/viaf/22387007;Disputatio de aquae transmutatione in sacrificio missa;Disputatio de aquae transmutatione in sacrificio missa;1628;Antwerp ;Martinus Nutius;Latin;Catholicism;Disputes;Sacraments;Mass;;https://books.google.it/books?id=FyxAAAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false
Aversa, Raffaele;1589 - 1657;http://viaf.org/viaf/79120330;De eucharistiae sacramento et sacrificio, de poenitentiae sacramento et virtute et de extrema Unctione: tractatus theologici ac morales speculatiua simul et practica doctrina accurate ac dilucide complectens;De eucharistiae sacramento et sacrificio, de poenitentiae sacramento et virtute et de extrema Unctione: tractatus theologici ac morales speculatiua simul et practica doctrina accurate ac dilucide complectens;1642;Bologna;Carolus Zenerus;Latin;Catholicism;Disputes;Sacraments;Mass;;https://books.googleusercontent.com/books/content?req=AKW5QacPIA5Mo71gW39JTf12eNC1li840YdqkvRpETm8dBY-TSeV0pd6haMBxF_k_dyezlII5kXMakr5NgKOO1Qly006an4Hpn2joQGiHYpBupia4eo3GHlBejMDTFEh0qVLZdGpitZe6SBVGAtNdrSzR9wDRtjYRF8SKH4OMBl6TxgfSHBYewA9ScQ590ZqMetIjs3KeB6CmKprXRKQyb_9OCPnCqnk9sx9jaYcAVaEhltR_uPd4rMC0XQkQSWN_aQGBVmLoeQj1jgQIh1evZgJudOPiMoYT0fO4UB8fqTD2TrHCEBjl8A
Bacherius, Petrus;1517 - 1601;http://viaf.org/viaf/101053694;Libelli duo in misoliturgos, hoc est, missae osores quorum prior de Iudaeorum paganorumque sacrificiis generatim, posterior vero de unico Christianorum sacrificio late tractat;Libelli duo in misoliturgos, hoc est, missae osores quorum prior de Iudaeorum paganorumque sacrificiis generatim, posterior vero de unico Christianorum sacrificio late tractat;1556;Gand;Cornelius Manilius;Latin;Catholicism;Judaism;Paganism;Patristics;Mass;https://books.googleusercontent.com/books/content?req=AKW5QadAedIGfUg7J49hMtw9V113iBVU47w9ya_RN7K-p-R0RxbWvMuveqs62yDH1rzlhoHOSTcK15QwbMuru2UZPi_VPez8Fr8n13wY8PUJomtq3a0N2CUL3ENkehCnYuu8i-dXZ-ZX1qiUJlFNmp4n2vYnNaaO-Pp5Gkw3lR6ldLcO6SGKeAPCKtbI27DoQFiNShamUhiGXV20R9X3nKEayi3KiSNlsT34xsj3OtV_UMMf_wSpsbSecT2IW0lGn1Raia7jjKomdjbZCAwWktY3hawmor3K0DjJH_DS4AwMH65Miu7EuJ4
Bacmeister, Lucas;1530 - 1608;http://viaf.org/viaf/57440260;Disputatio complectens summam et ordinem doctrinae, in epistola ad Hebraeos traditae, De sacerdotio et sacrificio Christi: instituta, ut studiosi ad lectionem eius epistolae invitentur;Disputatio complectens summam et ordinem doctrinae, in epistola ad Hebraeos traditae, De sacerdotio et sacrificio Christi: instituta, ut studiosi ad lectionem eius epistolae invitentur;1569;Rostock;Lucius;Latin;Lutheranism;Disputes;Bible, New Testament;Christ's Sacrifice;;https://books.google.it/books?id=Y_U7AAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false
Bajus, Michael;1513 - 1589;http://viaf.org/viaf/27053334;De Libero hominis arbitrio eiusq[ue] potestate, liber unus Item de iustitia & iustificatione libri duo accessit praeterea eiusdem autoris de sacrificio liber unus;De Libero hominis arbitrio eiusq[ue] potestate, liber unus Item de iustitia & iustificatione libri duo accessit praeterea eiusdem autoris de sacrificio liber unus;1563;Leuven;Petrus Zangrius;Latin;Catholicism;Free Will;;;;https://books.google.it/books?id=s82yTOflD-IC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false
Beyer, Hartmann;1516 - 1577;http://viaf.org/viaf/50016413;De ficticio Missae Sacrificio argumenta Sophistarum Pontificiorum cum refutationibus eorundem. Argumenta vera, firma, & perspicua contra Sacrificium Missae Papisticae;De ficticio Missae Sacrificio argumenta Sophistarum Pontificiorum cum refutationibus eorundem. Argumenta vera, firma, & perspicua contra Sacrificium Missae Papisticae;1550;[Magdeburg];[Christianus Rhodius];Latin;Lutheranism;Anti-Catholic Controversy;Mass;;;https://daten.digitale-sammlungen.de/~db/0001/bsb00017784/images/
Bona, Giovanni;1609 - 1674;http://viaf.org/viaf/37060997;De sacrificio Missae tractatus asceticus. Continens praxim attentè, deuotè, & reuerenter celebrandi;De sacrificio Missae tractatus asceticus. Continens praxim attentè, deuotè, & reuerenter celebrandi;1658;Rome;Fabius de Falchus;Latin;Catholicism;Catholic Liturgy;Mass;;;https://archive.org/details/bub_gb_5sneAaKvCYQC
Bray, William;? - 1644;http://viaf.org/viaf/93589756;A sermon of the blessed sacrament of the Lords Supper;A sermon of the blessed sacrament of the Lords Supper;1641;London; T. and R. C. for Henry Seile;English;Last Supper;Disputes;Anglicanism;Sermons;;"https://quod.lib.umich.edu/e/eebo2/A77288.0001.001?rgn=main;view=fulltext"
