AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Anonymous / Unknown;;;Breve noticia de la Redencion que en la ciudad de Argel, en cumplimento de su cuarto voto, ha hecho este presente año la Celeste, Real y Militar Orden de Nuestra Señora de la Merced Redempcion de Captivos &c.;Breve noticia de la Redencion que en la ciudad de Argel, en cumplimento de su cuarto voto, ha hecho este presente año la Celeste, Real y Militar Orden de Nuestra Señora de la Merced Redempcion de Captivos &c.;1691;n. p. ;n. p. ;Spanish;Mercedarians (O. de M.);Redemption of Captives;Imprisonment;Self-sacrifice;North Africa;http://catalogo.bne.es/uhtbin/cgisirsi/x/0/0/57/5/3?searchdata1=2686814{CKEY}&searchfield1=GENERAL^SUBJECT^GENERAL^^&user_id=WEBSERVER
Anonymous / Unknown;;;"Chronica del muy esclarecido Principe y Rey don Alfonso el Onzeno deste nombre de los Reyes que reynaron en Castilla y en Leon; Padre que fue del rey don Pedro. Con previlegio Imperial. Está tassado este libro por los señores del Consejo Real de su Magestad en cinco reales y medio. MDLI.";"Chronica del muy esclarecido Principe y Rey don Alfonso el Onzeno deste nombre de los Reyes que reynaron en Castilla y en Leon; Padre que fue del rey don Pedro. Con previlegio Imperial. Está tassado este libro por los señores del Consejo Real de su Magestad en cinco reales y medio. MDLI.";1551;Valladolid;Sebastián Martínez [...] A costa de Pedro de Espinosa, mercader de libros [...] y de Antonio Zamora;Spanish;Crusades;Reconquista;Medieval Chronicles;Alfonso XI of Castile;Spain;http://bdh-rd.bne.es/viewer.vm?id=0000043539&page=1
Aguilar, Pedro de;1515 - 1580;http://viaf.org/viaf/48952493;Memorias del cautivo en la goleta de Túnez. (El Alférez Pedro de Aguilar).;Memorias del cautivo en la goleta de Túnez. (El Alférez Pedro de Aguilar).;1875;Madrid;Sociedad de Bibliófilos Españoles;Spanish;Crusades;Redemption of Captives;Moriscos;Christian-Islamic relations;Holy Wars;http://bdh-rd.bne.es/viewer.vm?id=0000255867&page=1
Sánchez de Feria y Morales, Bartolomé;1719 - 1783;http://viaf.org/viaf/217144450;Palestra Sagrada o Memorial de Santos de Córdoba. Con notas y reflexiones críticas sobre los principales sucesos de sus Historias. Su autor Don Bartolome Sánchez de Feria y Morales ...  (4 vols.);Palestra Sagrada o Memorial de Santos de Córdoba. Con notas y reflexiones críticas sobre los principales sucesos de sus Historias. Su autor Don Bartolome Sánchez de Feria y Morales ...  (4 vols.);1772;Cordoba;Juan Rodríguez;Spanish;Saints;Cordoba;Reconquista;Martyrology;Catholic Martyrs;http://www.bibliotecavirtualdeandalucia.es/catalogo/es/consulta/registro.cmd?id=1000722
González de Figueroa, Francisco ;16th century;http://viaf.org/viaf/139028060;Obra nuevamente compuesta por Frãcisco Gonçalez de Figueroa, ... sacada de una verdadera relacion, dandose cuenta la vida, y el martyrio de una santa muger española , y fue que la quemaron viva en la ciudad de Hierusalẽ, en el monte Calvario, donde fue crucificado nuestro Señor Iesu Christo, y esto hizieron los Turcos ... el Domingo de Ramos en el año passado de mil y quinientos y ochenta, porque predicava la ley de nuestro Señor Iesu Christo.;Obra nuevamente compuesta por Frãcisco Gonçalez de Figueroa, ... sacada de una verdadera relacion, dandose cuenta la vida, y el martyrio de una santa muger española , y fue que la quemaron viva en la ciudad de Hierusalẽ, en el monte Calvario, donde fue crucificado nuestro Señor Iesu Christo, y esto hizieron los Turcos ... el Domingo de Ramos en el año passado de mil y quinientos y ochenta, porque predicava la ley de nuestro Señor Iesu Christo.;1581;Valencia;[n. p.];Spanish;Martyrdom;Women Martyrs;Jerusalem;Propaganda;Persecutions;http://bdh-rd.bne.es/viewer.vm?id=0000231830&page=1
Baïão, José Pereira;1690 - 1743;http://viaf.org/viaf/7731316;"Portugal cuidadoso, e lastimado com a vida, e perda do ṡenhor rey dom Sebastiaõ, o Desejado de saudosa memoria: Historia chronologica de suas accoens, e successos desta monarquia em seu teṁpo; suas jornadas a Africa, batalha, perda, circunstancias, e consequencias notaveis della. Dividida em cinco livros.";"Portugal cuidadoso, e lastimado com a vida, e perda do ṡenhor rey dom Sebastiaõ, o Desejado de saudosa memoria: Historia chronologica de suas accoens, e successos desta monarquia em seu teṁpo; suas jornadas a Africa, batalha, perda, circunstancias, e consequencias notaveis della. Dividida em cinco livros.";1737;Lisbon;Antonio de Sousa da Sylva  (Officina de);Portuguese;Sebastian of Portugal;Martyrdom;Crusades;Reconquista;North Africa;https://books.google.it/books?id=xWZJAAAAcAAJ&vq=sacrific&hl=it&pg=PP5#v=onepage&q&f=false
Domenec, Antonio Vicente;1553 - 1607;http://viaf.org/viaf/304522507;"Historia general de los santos y varones ilustres en santidad del Principado de Cataluña. Compuesta por el R.P.F. Antonio Vicente Domenec ... de la Orden del Padre Santo Domingo ... ; con sus indices conforme a la antiguedad de los Obispados.";"Historia general de los santos y varones ilustres en santidad del Principado de Cataluña. Compuesta por el R.P.F. Antonio Vicente Domenec ... de la Orden del Padre Santo Domingo ... ; con sus indices conforme a la antiguedad de los Obispados.";1602;Barcelona;"Gabriel Graells ; Giraldo Dotil  [en la imprenta de]";Spanish;Saints;Canonization of the Saints;Martyrology;Hagiographies;Catalunya;https://books.google.it/books?id=iAZeC38Q5ygC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Eulogius of Cordoba, Saint;[810] - 859;http://viaf.org/viaf/11318669;Divi Eulogii Cordubensis, Martyris Doctoris et electi Archiepiscopi Toletani opera. Studio et diligentia illustrissimi ac reverendissimi domini Petri Poncii Leoni a Corduba episcopi Placentini summique fidei christianae per regna et ditiones Philippi II. regis catholici inquisitoris reperta. Eiusdem sanctissimi martyris vita per Alvarum Cordubensem scripta. Cum aliis nonnullis sanctorum martyrum Cordubensium monumentis. Omnia Ambrosii Morales Cordubensis regii historicii scholiis illustrata eiusque cura et diligentia excussa. Operum catalogus sequitur post praefationes.;Divi Eulogii Cordubensis, Martyris Doctoris et electi Archiepiscopi Toletani opera. Studio et diligentia illustrissimi ac reverendissimi domini Petri Poncii Leoni a Corduba episcopi Placentini summique fidei christianae per regna et ditiones Philippi II. regis catholici inquisitoris reperta. Eiusdem sanctissimi martyris vita per Alvarum Cordubensem scripta. Cum aliis nonnullis sanctorum martyrum Cordubensium monumentis. Omnia Ambrosii Morales Cordubensis regii historicii scholiis illustrata eiusque cura et diligentia excussa. Operum catalogus sequitur post praefationes.;1574;Alcalá de Henares;Ioannes Iñiguez a Lequerica;Latin;Eulogius of Cordoba, Saint;Martyrdom;Cordoba;Persecutions;Anti-Islamic Controversy;https://bvpb.mcu.es/eu/catalogo_imagenes/grupo.do?path=277303
Eulogius of Cordoba, Saint;[810] - 859;http://viaf.org/viaf/11318669;"Opera Omnia: Memoriale sanctorum ; Documentum martyriale ; Apologeticus martyrum.";"Opera Omnia: Memoriale sanctorum ; Documentum martyriale ; Apologeticus martyrum.";1574;Alcalá de Henares;n. p.  [Ioannes Iñiguez a Lequerica];Latin;Eulogius of Cordoba, Saint;Martyrdom;Cordoba;Persecutions;Anti-Islamic Controversy;https://bvpb.mcu.es/eu/consulta/registro.do?id=576809
Dan, Pierre;[1582] - 1649;http://viaf.org/viaf/56653261;Histoire de Barbarie et de ses corsaires. Des royaumes, et des villes d'Alger, de Tunis, de Salé, & de Tripoly. Divisée en six livres ou il est traité de leur gouvernement, de leurs mœurs, de leurs cruautez, de leurs brigandage, de leurs sortilèges ... ensemble des grandes misères et des cruels tourmens qu'endurent le chrestiens captifs parmy ces infidèles.;Histoire de Barbarie et de ses corsaires. Des royaumes, et des villes d'Alger, de Tunis, de Salé, & de Tripoly. Divisée en six livres ou il est traité de leur gouvernement, de leurs mœurs, de leurs cruautez, de leurs brigandage, de leurs sortilèges ... ensemble des grandes misères et des cruels tourmens qu'endurent le chrestiens captifs parmy ces infidèles.;1649;Paris;Pierre Rocolet;French;North Africa;Trinitarians (O.SS.T);Redemption of Captives;Catholic Treaties on Islam;Christian Martyrs in Algiers;https://books.google.es/books?id=RTXCG2JVjC0C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Schott, Andreas;1552 - 1629;http://viaf.org/viaf/6214159478011627990006;Hispaniae illustratae: seu Urbium Rerumque Hispanicarum, Academiarum, Bibliothecarum, Clarorum denique in Omni disciplinarum Genere Scriptorum Auctores Varii, Chronologi, Historici, Parti Editi nunc primum, Partim Auctiores, melioresque facti, Studio & Opera Andreae Schotti Antuerp. Societatis Iesu. Tomus IV.;Hispaniae illustratae: seu Urbium Rerumque Hispanicarum, Academiarum, Bibliothecarum, Clarorum denique in Omni disciplinarum Genere Scriptorum Auctores Varii, Chronologi, Historici, Parti Editi nunc primum, Partim Auctiores, melioresque facti, Studio & Opera Andreae Schotti Antuerp. Societatis Iesu. Tomus IV.;1608;Frankfurt;Claudius Marnius & Heredes Ioan. Aubrii;Latin;Eulogius of Cordoba, Saint;Martyrdom;Cordoba;Persecutions;Anti-Islamic Controversy;https://books.google.es/books?id=ee5FAAAAcAAJ&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Ocampo, Florián de;[1499] - 1558;http://viaf.org/viaf/100202275;"Las quatro partes enteras dela Cronica de España que manda componer el Serenissimo rey don Alonsa llamado el sabio
Donde se contienen los acontescimientos y hazañas mayores y mas señaladas que suçedieron en España. Desde su primera poblaçion hasta casilos tiempos des dicho señor rey.";"Las quatro partes enteras dela Cronica de España que manda componer el Serenissimo rey don Alonsa llamado el sabio
Donde se contienen los acontescimientos y hazañas mayores y mas señaladas que suçedieron en España. Desde su primera poblaçion hasta casilos tiempos des dicho señor rey.";1541;Zamora ;Spinosa;Spanish;Early Modern Chronicle;Catholicism;Spain;Crusades;Reconquista;https://www.google.it/books/edition/Las_quatro_partes_enteras_dela_Cronica_d/1rpFAAAAcAAJ?hl=it&gbpv=0&kptab=getbook
Morales, Ambrosio de;1513 - 1591;http://viaf.org/viaf/17346810;Los cinco libros postreros de la corónica general de España  (Vol. IV);Los cinco libros postreros de la corónica general de España  (Vol. IV);1586;Cordoba;Gabriel Ramos Bejarano;Spanish;Early Modern Chronicle;Catholicism;Spain;Crusades;Reconquista;https://books.google.it/books?id=2By78JkX174C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Morales, Ambrosio de;1513 - 1591;http://viaf.org/viaf/17346810;La chrónica general de España que continuaba Ambrosio de Morales, natural de Córdoba, cronista del Rey Catholico nuestro señor Don Philipe segundo deste nombre, y cathedrático de Rhetorica en la Universidad de Alcalá de Henares, prossiguiendo adelante de los cinco libros, que el maestro Florian de Ocampo... dexo escritos [...]  (3 vols.).;La chrónica general de España que continuaba Ambrosio de Morales, natural de Córdoba, cronista del Rey Catholico nuestro señor Don Philipe segundo deste nombre, y cathedrático de Rhetorica en la Universidad de Alcalá de Henares, prossiguiendo adelante de los cinco libros, que el maestro Florian de Ocampo... dexo escritos [...]  (3 vols.).;1574 - 1586;Alcalá de Henares - Cordoba;Juan Iñiguez de Lequerica;"Spanish ; Latin";Early Modern Chronicle;Catholicism;Spain;Crusades;Reconquista;https://www.google.it/books/edition/La_Coronica_general_de_Espa%C3%B1a_que_conti/gTMmctT7Ts0C?hl=it&gbpv=0
